ID, Device, Mode, Trial Number, Block Number, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, (T) Trial, (T) Scroll, (T) Fine Tune, (T) Select, (T) Start Scroll, Distance from middle (lines), #Target in frame, #Target visible, Start direction, Finger count, Finger positions MIN, Finger positions MAX, Scroll area size, Pixels per mm (of PC)  
0,MOUSE, --- ,1,1,1,854,32,3.0,220,DOWN,756,18.0,false,32208,28047,18112,2958,1203,534,2,2,DOWN, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,2,1,2,854,32,6.0,170,DOWN,715,18.0,false,2653,0,0,2653,0,172,0,0,null, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,3,1,3,854,32,6.0,220,UP,553,18.0,false,1283,0,0,1283,0,-218,0,0,null, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,4,1,4,854,32,6.0,120,DOWN,734,18.0,false,1052,0,0,1052,0,122,0,0,null, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,5,1,5,854,32,3.0,170,DOWN,198,18.0,false,9499,0,0,9499,0,172,0,0,null, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,6,1,6,854,32,6.0,120,UP,607,18.0,false,1311,0,0,1311,0,-118,0,0,null, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,7,1,7,854,32,6.0,220,DOWN,249,18.0,false,1077,0,0,1077,53,222,0,0,UP, ---, ---, ---, ---,4.330708661417323
0,MOOSE,iOS,1,1,1,854,32,6.0,220,UP,15,18.0,true,115027,112141,17,1175,1711,0,5,5,UP,0.0,281.0/355.0,829.0/1050.0,1080.0 / 1163.0,4.330708661417323
0,MOOSE,iOS,2,1,2,854,32,3.0,120,DOWN,681,18.0,true,7299,6542,1258,241,516,2,3,2,DOWN,2.0,349.5010986328125/387.0,453.0/928.0,1080.0 / 1163.0,4.330708661417323
0,MOOSE,iOS,3,1,3,854,32,3.0,220,DOWN,707,18.0,true,8273,6879,2346,730,664,1,1,1,DOWN,2.0,344.0/400.0,419.0/933.0,1080.0 / 1163.0,4.330708661417323
0,MOOSE,iOS,4,1,4,854,32,6.0,170,DOWN,662,18.0,true,5690,5617,2412,23,50,0,2,1,UP,2.0,350.3755798339844/385.0,459.0/958.0,1080.0 / 1163.0,4.330708661417323
0,MOOSE,iOS,5,1,5,854,32,6.0,70,DOWN,455,18.0,true,3988,3644,2078,292,52,2,2,1,UP,2.0,363.0/404.0,422.0/794.0,1080.0 / 1163.0,4.330708661417323
0,MOOSE,iOS,6,1,6,854,32,3.0,170,DOWN,230,18.0,true,20441,19568,3512,158,715,2,3,2,DOWN,2.0,333.4996337890625/369.0,835.323974609375/1031.0,1080.0 / 1163.0,4.330708661417323
0,MOOSE,iOS,7,1,7,854,32,6.0,120,DOWN,493,18.0,true,6431,5473,1183,497,461,1,2,2,DOWN,2.0,352.95068359375/363.0,462.0/914.0,1080.0 / 1163.0,4.330708661417323
0,MOOSE,iOS,8,1,8,854,32,3.0,70,DOWN,183,18.0,true,6727,6506,2990,177,44,1,2,1,UP,2.0,325.5170593261719/379.0,469.0/993.0,1080.0 / 1163.0,4.330708661417323
0,MOOSE,iOS,9,1,9,854,32,3.0,20,UP,582,18.0,true,12276,11440,2096,326,510,1,2,2,DOWN,2.0,356.0311279296875/375.0,481.0/913.0,1080.0 / 1163.0,4.330708661417323
0,MOOSE,iOS,10,1,10,854,32,6.0,20,DOWN,645,18.0,true,2763,1407,1312,603,753,1,1,1,DOWN,2.0,359.4606628417969/394.0,418.0/893.0,1080.0 / 1163.0,4.330708661417323
0,MOOSE,iOS,11,1,11,854,32,6.0,70,UP,583,18.0,true,7061,5728,1201,772,561,1,3,3,UP,2.0,372.03955078125/386.0,512.0/878.0,1080.0 / 1163.0,4.330708661417323
0,MOOSE,iOS,12,1,12,854,32,6.0,170,UP,489,18.0,true,8852,7841,2047,305,706,3,2,1,DOWN,2.0,377.8026123046875/404.0,512.0/837.0,1080.0 / 1163.0,4.330708661417323
