ID, Device, Mode, Trial Number, Block Number, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, (T) Trial, (T) Scroll, (T) Fine Tune, (T) Select, (T) Start Scroll, Distance from middle (lines), #Target in frame, #Target visible, Start direction, Finger count, Finger positions X-MIN, Finger positions Y-MIN, Finger positions X-MAX, Finger positions Y-MAX, Scroll area size X, Scroll area size Y, Pixels per mm (of PC)  
0,MOUSE, --- ,1,1,1,854,32,6.0,170,DOWN,411,18.0,true,5976,4094,910,495,1387,-2,1,1,DOWN, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,2,1,2,854,32,6.0,220,DOWN,260,18.0,false,537,0,0,537,0,220,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,3,1,3,854,32,6.0,70,UP,265,18.0,false,542,0,0,542,0,-69,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,4,1,4,854,32,3.0,220,UP,166,18.0,false,646,0,0,646,0,-219,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,5,1,5,854,32,3.0,70,UP,717,18.0,false,440,0,0,440,0,-69,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,6,1,6,854,32,3.0,20,DOWN,329,18.0,false,544,0,0,544,0,20,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,7,1,7,854,32,6.0,20,UP,363,18.0,false,553,0,0,553,0,-19,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,8,1,8,854,32,3.0,170,DOWN,502,18.0,false,517,0,0,517,0,170,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,9,1,9,854,32,6.0,120,DOWN,394,18.0,false,477,0,0,477,0,120,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,10,1,10,854,32,3.0,120,UP,540,18.0,false,481,0,0,481,0,-119,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,11,2,1,854,32,6.0,20,DOWN,516,18.0,false,2207,0,0,2207,0,20,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,12,2,2,854,32,3.0,20,UP,203,18.0,false,539,0,0,539,0,-20,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,13,2,3,854,32,3.0,70,DOWN,688,18.0,false,512,0,0,512,0,70,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,14,2,4,854,32,3.0,220,DOWN,683,18.0,false,511,0,0,511,0,220,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,15,2,5,854,32,6.0,220,UP,439,18.0,false,550,0,0,550,0,-219,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,16,2,6,854,32,3.0,170,UP,235,18.0,false,543,0,0,543,61,-170,0,0,UP, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,17,2,7,854,32,3.0,120,DOWN,205,18.0,false,560,0,0,560,0,120,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,18,2,8,854,32,6.0,120,UP,298,18.0,false,523,0,0,523,0,-119,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,19,2,9,854,32,6.0,170,UP,463,18.0,false,503,0,0,503,0,-169,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,20,2,10,854,32,6.0,70,DOWN,409,18.0,false,508,0,0,508,0,70,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,21,3,1,854,32,6.0,220,DOWN,740,18.0,false,1792,0,0,1792,0,220,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,22,3,2,854,32,6.0,170,UP,116,18.0,false,419,0,0,419,0,-170,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,23,3,3,854,32,3.0,220,DOWN,379,18.0,false,368,0,0,368,0,220,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,24,3,4,854,32,3.0,20,DOWN,644,18.0,false,343,0,0,343,0,20,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,25,3,5,854,32,6.0,70,DOWN,216,18.0,false,507,0,0,507,0,70,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,26,3,6,854,32,3.0,170,UP,571,18.0,false,299,0,0,299,0,-169,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,27,3,7,854,32,3.0,70,UP,283,18.0,false,452,0,0,452,0,-70,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,28,3,8,854,32,3.0,120,UP,99,18.0,false,309,0,0,309,0,-120,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,29,3,9,854,32,6.0,120,UP,176,18.0,false,344,0,0,344,0,-119,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,30,3,10,854,32,6.0,20,DOWN,695,18.0,false,570,0,0,570,0,20,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,31,4,1,854,32,6.0,20,UP,31,18.0,false,843,0,0,843,0,-20,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,32,4,2,854,32,3.0,20,UP,113,18.0,false,382,0,0,382,0,-19,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,33,4,3,854,32,3.0,120,DOWN,508,18.0,false,293,0,0,293,0,120,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,34,4,4,854,32,3.0,220,UP,546,18.0,false,515,0,0,515,0,-219,0,0,null, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
0,MOUSE, --- ,35,4,5,854,32,6.0,120,DOWN,284,18.0,false,438,0,0,438,57,120,0,0,UP, ---, ---, ---, ---, ---, ---, ---,4.330708661417323
