ID, Device, Mode, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
11,MOOSE,TrackPoint,1,1,1,1,854,32,6.0,100,UP,360,18.0,true,19226,14559,2319,1475,3192,1,2,2,DOWN,2.0,300.0,143.0,1062.0,1201.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,2,1,2,854,32,3.0,50,UP,41,18.0,true,7854,5424,3935,349,2081,-1,3,1,UP,1.0,314.0,623.0,474.0,1153.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,3,1,3,854,32,3.0,200,DOWN,804,18.0,true,13430,12016,3071,366,1048,0,2,1,DOWN,1.0,227.446,212.0,588.0,1604.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,4,1,4,854,32,3.0,300,UP,218,18.0,true,36102,34193,2209,1019,890,-1,7,6,UP,1.0,266.0,50.0,618.0,1623.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,5,1,5,854,32,6.0,300,UP,296,18.0,true,11168,9154,2145,780,1234,-1,1,1,DOWN,1.0,399.0,157.0,639.707,1355.5,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,6,1,6,854,32,6.0,200,DOWN,418,18.0,true,9024,7216,1180,923,885,0,1,1,DOWN,1.0,476.481,316.0,627.0,1553.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,7,1,7,854,32,6.0,50,DOWN,741,18.0,true,7602,5824,2366,785,993,-1,1,1,DOWN,1.0,537.0,1027.0,630.0,1452.358,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,8,1,8,854,32,3.0,100,DOWN,612,18.0,true,5935,5362,2415,511,62,1,1,1,UP,1.0,454.0,812.0,524.0,1492.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,9,2,1,854,32,3.0,50,DOWN,507,18.0,true,7435,6064,2047,452,919,0,2,1,DOWN,1.0,368.0,799.0,484.0,1376.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,10,2,2,854,32,6.0,200,UP,282,18.0,true,8240,7246,3130,193,801,0,2,1,DOWN,1.0,384.0,413.0,547.705,1575.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,11,2,3,854,32,3.0,100,UP,360,18.0,true,12058,10832,3661,411,815,-1,2,2,DOWN,1.0,459.0,427.0,664.0,1350.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,12,2,4,854,32,6.0,300,DOWN,480,18.0,true,17037,15312,541,819,906,-1,1,1,DOWN,1.0,358.0,329.5,551.592,1572.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,13,2,5,854,32,6.0,100,DOWN,697,18.0,true,6578,5375,3533,353,850,1,2,1,UP,1.0,440.0,733.0,591.0,1495.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,14,2,6,854,32,3.0,200,UP,241,18.0,true,9238,8047,2766,641,550,0,2,1,DOWN,1.0,400.0,416.0,573.0,1505.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,15,2,7,854,32,6.0,50,UP,35,18.0,true,4882,4635,2335,212,35,-2,1,1,UP,1.0,355.0,646.0,499.5,1117.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,16,2,8,854,32,3.0,300,DOWN,740,18.0,true,11088,9712,2144,538,838,0,1,1,DOWN,1.0,457.0,368.0,564.0,1572.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,17,3,1,854,32,3.0,100,DOWN,458,18.0,true,14831,12863,1820,484,1484,0,2,1,UP,1.0,162.0,788.0,654.0,1442.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,18,3,2,854,32,3.0,50,UP,210,18.0,true,8816,7472,3120,499,845,-1,2,1,DOWN,1.0,306.0,823.0,559.0,1327.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,19,3,3,854,32,6.0,50,DOWN,489,18.0,true,9451,7776,2336,405,1270,-1,2,1,UP,1.0,349.0,667.0,446.0,1375.479,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,20,3,4,854,32,3.0,200,DOWN,792,18.0,true,11020,9648,2446,522,850,0,1,1,UP,1.0,280.0,779.0,397.0,1602.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,21,3,5,854,32,3.0,300,UP,263,18.0,true,11001,9567,1965,222,1212,-1,0,1,DOWN,1.0,359.0,465.5,489.0,1622.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,22,3,6,854,32,6.0,200,UP,507,18.0,true,7816,5985,1502,577,1254,0,1,1,UP,1.0,442.0,281.0,535.5,1270.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,23,3,7,854,32,6.0,100,UP,169,18.0,true,6839,5345,2175,201,1293,-1,2,1,UP,1.0,407.0,398.0,479.0,1362.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,24,3,8,854,32,6.0,300,DOWN,351,18.0,true,8882,7791,3145,56,1035,-1,2,1,DOWN,1.0,349.0,598.0,494.0,1793.482,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,25,4,1,854,32,6.0,100,DOWN,509,18.0,true,7621,4336,1998,592,2693,1,2,1,DOWN,2.0,315.0,742.0,1046.0,1493.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,26,4,2,854,32,6.0,200,DOWN,311,18.0,true,9033,7296,397,709,1028,1,2,2,DOWN,1.0,343.0,683.0,512.0,1871.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,27,4,3,854,32,3.0,50,DOWN,229,18.0,true,4814,3760,2063,132,922,1,2,1,DOWN,1.0,395.0,1029.0,488.0,1542.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,28,4,4,854,32,3.0,200,UP,231,18.0,true,5897,4191,126,912,794,0,1,1,DOWN,1.0,403.5,395.5,516.0,1638.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,29,4,5,854,32,6.0,300,UP,197,18.0,true,5908,4559,2333,283,1066,0,1,1,UP,1.0,371.0,368.0,451.0,1477.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,30,4,6,854,32,3.0,300,DOWN,359,18.0,true,10038,9024,2480,114,900,-1,1,1,DOWN,1.0,430.5,543.0,586.0,1572.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,31,4,7,854,32,6.0,50,UP,427,18.0,true,6102,5216,2622,70,816,-1,1,1,UP,1.0,447.0,905.0,531.5,1407.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,1,32,4,8,854,32,3.0,100,UP,107,18.0,true,3971,2160,171,945,866,-1,1,1,DOWN,1.0,451.481,485.5,591.0,1289.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,1,1,1,854,32,6.0,50,DOWN,322,18.0,true,9052,4271,1995,620,4161,0,2,1,DOWN,1.0,245.0,561.0,448.0,1362.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,2,1,2,854,32,6.0,300,UP,351,18.0,true,9464,7791,893,1015,658,2,1,1,UP,1.0,293.0,422.0,482.343,1348.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,3,1,3,854,32,3.0,100,UP,297,18.0,true,8606,7424,2464,273,909,0,1,1,DOWN,1.0,431.0,637.5,588.5,1298.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,4,1,4,854,32,3.0,300,DOWN,837,18.0,true,11670,9838,1564,628,1204,0,1,1,UP,1.0,511.0,371.0,559.0,1259.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,5,1,5,854,32,6.0,100,DOWN,121,18.0,true,10839,7856,3263,392,2591,1,1,1,DOWN,1.0,446.0,894.0,504.0,1250.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,6,1,6,854,32,6.0,200,DOWN,644,18.0,true,9440,7839,3066,290,1311,2,1,1,DOWN,1.0,425.518,805.0,503.0,1281.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,7,1,7,854,32,3.0,50,UP,619,18.0,true,5067,4550,669,486,31,-1,1,1,UP,1.0,425.0,1078.683,481.5,1391.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,8,1,8,854,32,3.0,200,UP,205,18.0,true,6226,4734,270,693,799,0,1,1,DOWN,1.0,444.0,852.0,555.0,1398.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,9,2,1,854,32,6.0,300,DOWN,722,18.0,true,14216,11215,1374,674,2327,-1,1,1,UP,1.0,387.0,668.0,470.0,1390.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,10,2,2,854,32,6.0,50,UP,383,18.0,true,5317,5152,2141,130,35,1,1,1,UP,1.0,408.0,1029.0,449.0,1369.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,11,2,3,854,32,3.0,100,DOWN,249,18.0,true,6232,5794,1483,386,52,0,1,1,UP,1.0,419.5,822.0,488.0,1337.644,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,12,2,4,854,32,3.0,200,DOWN,784,18.0,true,9955,8704,2239,195,1056,1,2,1,UP,1.0,460.0,870.0,565.0,1426.5,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,13,2,5,854,32,6.0,200,UP,74,18.0,true,6663,5567,1918,136,960,-1,1,1,DOWN,1.0,485.0,735.0,600.0,1416.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,14,2,6,854,32,6.0,100,UP,469,18.0,true,4561,2751,252,839,971,-2,1,1,UP,1.0,488.0,708.0,538.0,1270.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,15,2,7,854,32,3.0,300,UP,423,18.0,true,10259,8799,1166,432,1028,1,1,1,UP,1.0,392.0,722.744,476.529,1358.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,16,2,8,854,32,3.0,50,DOWN,83,18.0,true,7436,6095,2635,281,1060,0,1,1,DOWN,1.0,416.0,695.0,455.0,1165.5,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,17,3,1,854,32,6.0,50,DOWN,369,18.0,true,5886,3504,956,384,1998,0,1,1,DOWN,1.0,300.0,828.0,422.0,1148.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,18,3,2,854,32,3.0,100,UP,491,18.0,true,5840,4384,430,598,858,1,1,1,DOWN,1.0,385.0,838.0,488.0,1283.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,19,3,3,854,32,6.0,100,UP,247,18.0,true,6825,5840,2238,215,770,-1,1,1,DOWN,1.0,453.345,740.0,509.0,1238.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,20,3,4,854,32,6.0,300,UP,434,18.0,true,7762,6736,1949,64,962,0,2,1,UP,1.0,458.0,428.5,556.0,1196.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,21,3,5,854,32,3.0,200,UP,622,18.0,false,6642,5743,1853,42,857,-3,2,1,UP,1.0,462.0,546.0,535.48,1226.481,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,22,3,5,854,32,3.0,50,DOWN,618,18.0,true,9230,7615,1693,450,1165,0,1,1,DOWN,1.0,457.0,725.0,547.297,1245.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,23,3,6,854,32,6.0,200,DOWN,471,18.0,true,8111,7584,923,497,30,-2,1,1,UP,1.0,455.0,761.0,517.0,1377.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,24,3,7,854,32,3.0,200,UP,361,18.0,true,8274,6224,2207,639,1411,-1,1,1,DOWN,1.0,392.0,518.5,458.0,1468.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,25,3,8,854,32,3.0,300,DOWN,512,18.0,true,8057,6846,633,347,864,0,1,1,DOWN,1.0,305.0,719.0,423.0,1414.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,26,4,1,854,32,3.0,200,DOWN,617,18.0,true,10671,9073,1919,190,1408,-1,1,1,DOWN,1.0,294.0,801.0,410.0,1383.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,27,4,2,854,32,6.0,50,UP,735,18.0,true,6046,5086,2878,139,821,0,2,1,UP,1.0,387.0,1141.0,434.0,1450.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,28,4,3,854,32,6.0,300,DOWN,485,18.0,true,12946,11535,1759,79,1332,0,1,1,DOWN,1.0,373.5,913.0,477.0,1698.345,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,29,4,4,854,32,3.0,300,UP,488,18.0,true,7645,5680,2301,404,1561,1,1,1,DOWN,1.0,382.49,298.5,543.0,1462.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,30,4,5,854,32,3.0,50,UP,317,18.0,true,5402,4062,1886,396,944,-1,0,1,DOWN,1.0,450.0,688.0,526.0,1234.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,31,4,6,854,32,3.0,100,DOWN,326,18.0,false,6224,5231,1452,89,904,3,2,1,UP,1.0,423.0,748.0,522.0,1421.5,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,32,4,6,854,32,6.0,200,UP,107,18.0,true,11584,10206,2735,152,1226,0,3,2,DOWN,1.0,443.0,366.0,675.0,1349.0,1080.0,1661.0,4.331
11,MOOSE,TrackPoint,2,33,4,7,854,32,6.0,100,DOWN,622,18.0,true,6129,4736,751,322,1071,0,1,1,DOWN,1.0,438.0,753.0,486.0,1075.0,1080.0,1661.0,4.331
