ID, Device, Mode, ExpPart, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
12,MOOSE,Rubbing,1,1,1,1,1,854,32,6.0,100,DOWN,236,18.0,true,19707,17023,3887,868,1816,0,1,1,DOWN,1.0,191.668,710.0,443.0,1620.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,1,2,1,2,854,32,6.0,300,UP,333,18.0,true,10323,8607,4623,680,1036,0,1,1,UP,1.0,309.0,650.0,455.0,1191.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,1,3,1,3,854,32,3.0,50,DOWN,372,18.0,true,15815,13296,2896,808,1711,0,1,1,UP,1.0,212.0,554.0,429.0,1608.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,1,4,1,4,854,32,6.0,50,UP,322,18.0,true,13021,11728,3695,405,888,0,2,3,UP,1.0,139.0,379.0,485.0,1579.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,1,5,1,5,854,32,3.0,200,UP,503,18.0,true,10234,9009,5745,462,763,0,2,1,UP,1.0,229.0,671.0,425.669,1439.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,1,6,1,6,854,32,3.0,100,UP,669,18.0,true,6175,4272,2608,663,1240,-1,0,1,UP,1.0,305.684,784.0,382.705,1111.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,1,7,1,7,854,32,3.0,300,DOWN,482,18.0,true,13578,11841,2161,960,777,0,1,1,UP,1.0,254.472,444.0,528.562,1493.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,1,8,1,8,854,32,6.0,200,DOWN,502,18.0,true,6064,4623,831,709,732,1,1,1,UP,1.0,253.0,497.0,400.0,1573.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,1,9,2,1,854,32,3.0,100,DOWN,394,18.0,true,8068,4719,1790,853,2496,0,1,1,UP,1.0,224.0,454.0,432.5,1217.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,1,10,2,2,854,32,3.0,50,UP,177,18.0,true,8510,7810,4129,656,44,0,2,2,UP,1.0,162.31,685.0,341.0,1502.0,1080.0,1661.0,4.331,
