ID, Device, Mode, Trial Number, Block Number, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
4,MOOSE,iOS,1,1,1,854,32,6.0,100,UP,408,18.0,true,8650,6960,1775,213,1477,1,2,1,UP,1.0,291.5,319.0,1003.0,752.0,1080.0,1661.0,4.331
4,MOOSE,iOS,2,1,2,854,32,3.0,200,DOWN,289,18.0,true,6293,5040,2111,302,951,0,1,1,DOWN,1.0,342.0,434.0,524.0,1017.0,1080.0,1661.0,4.331
4,MOOSE,iOS,3,1,3,854,32,6.0,300,UP,289,18.0,true,7250,6543,2156,182,525,0,2,1,UP,1.0,329.737,414.0,540.0,983.0,1080.0,1661.0,4.331
4,MOOSE,iOS,4,1,4,854,32,3.0,100,UP,305,18.0,true,6607,5775,2399,35,797,0,2,1,UP,1.0,406.0,431.0,522.0,787.0,1080.0,1661.0,4.331
4,MOOSE,iOS,5,1,5,854,32,3.0,300,DOWN,321,18.0,true,10447,8671,3083,359,1417,0,2,1,DOWN,1.0,314.466,409.0,507.0,1063.0,1080.0,1661.0,4.331
4,MOOSE,iOS,6,1,6,854,32,6.0,200,DOWN,512,18.0,true,4122,3504,748,101,517,-2,1,1,UP,1.0,320.0,406.0,499.0,1097.0,1080.0,1661.0,4.331
4,MOOSE,iOS,7,1,7,854,32,6.0,50,UP,178,18.0,true,5511,4321,1117,479,711,0,1,1,UP,1.0,413.0,439.0,544.0,859.0,1080.0,1661.0,4.331
4,MOOSE,iOS,8,1,8,854,32,3.0,50,DOWN,253,18.0,true,7853,7184,4414,20,649,0,2,1,DOWN,1.0,359.368,400.0,579.0,933.0,1080.0,1661.0,4.331
4,MOOSE,iOS,9,2,1,854,32,3.0,200,UP,101,18.0,true,13425,11056,1791,357,2012,0,2,1,DOWN,1.0,255.0,424.0,495.0,1043.0,1080.0,1661.0,4.331
4,MOOSE,iOS,10,2,2,854,32,6.0,100,DOWN,168,18.0,true,6239,5040,2014,417,782,2,0,1,DOWN,1.0,328.273,447.0,479.0,997.0,1080.0,1661.0,4.331
4,MOOSE,iOS,11,2,3,854,32,3.0,100,DOWN,341,18.0,true,5874,4880,2763,151,843,0,1,1,DOWN,1.0,311.721,429.0,473.0,1035.0,1080.0,1661.0,4.331
4,MOOSE,iOS,12,2,4,854,32,6.0,50,DOWN,759,18.0,true,4525,3216,1775,279,1030,-1,2,1,DOWN,1.0,331.389,405.0,523.0,939.0,1080.0,1661.0,4.331
